ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
1.0,20000.0,2.0,2.0,1.0,24.0,2.0,2.0,-1.0,-1.0,-2.0,-2.0,3913.0,3102.0,689.0,0.0,0.0,0.0,0.0,689.0,0.0,0.0,0.0,0.0
2.0,120000.0,2.0,2.0,2.0,26.0,-1.0,2.0,0.0,0.0,0.0,2.0,2682.0,1725.0,2682.0,3272.0,3455.0,3261.0,0.0,1000.0,1000.0,1000.0,0.0,2000.0
3.0,90000.0,2.0,2.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,29239.0,14027.0,13559.0,14331.0,14948.0,15549.0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0
4.0,50000.0,2.0,2.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,46990.0,48233.0,49291.0,28314.0,28959.0,29547.0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0
5.0,50000.0,1.0,2.0,1.0,57.0,-1.0,0.0,-1.0,0.0,0.0,0.0,8617.0,5670.0,35835.0,20940.0,19146.0,19131.0,2000.0,36681.0,10000.0,9000.0,689.0,679.0
6.0,50000.0,1.0,1.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,64400.0,57069.0,57608.0,19394.0,19619.0,20024.0,2500.0,1815.0,657.0,1000.0,1000.0,800.0
7.0,500000.0,1.0,1.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,367965.0,412023.0,445007.0,542653.0,483003.0,473944.0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0
8.0,100000.0,2.0,2.0,2.0,23.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,11876.0,380.0,601.0,221.0,-159.0,567.0,380.0,601.0,0.0,581.0,1687.0,1542.0
9.0,140000.0,2.0,3.0,1.0,28.0,0.0,0.0,2.0,0.0,0.0,0.0,11285.0,14096.0,12108.0,12211.0,11793.0,3719.0,3329.0,0.0,432.0,1000.0,1000.0,1000.0
10.0,20000.0,1.0,3.0,2.0,35.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,13007.0,13912.0,0.0,0.0,0.0,13007.0,1122.0,0.0
11.0,200000.0,2.0,3.0,2.0,34.0,0.0,0.0,2.0,0.0,0.0,-1.0,11073.0,9787.0,5535.0,2513.0,1828.0,3731.0,2306.0,12.0,50.0,300.0,3738.0,66.0
12.0,260000.0,2.0,1.0,2.0,51.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,12261.0,21670.0,9966.0,8517.0,22287.0,13668.0,21818.0,9966.0,8583.0,22301.0,0.0,3640.0
13.0,630000.0,2.0,2.0,2.0,41.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,12137.0,6500.0,6500.0,6500.0,6500.0,2870.0,1000.0,6500.0,6500.0,6500.0,2870.0,0.0
14.0,70000.0,1.0,2.0,2.0,30.0,1.0,2.0,2.0,0.0,0.0,2.0,65802.0,67369.0,65701.0,66782.0,36137.0,36894.0,3200.0,0.0,3000.0,3000.0,1500.0,0.0
15.0,250000.0,1.0,1.0,2.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,70887.0,67060.0,63561.0,59696.0,56875.0,55512.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
16.0,50000.0,2.0,3.0,3.0,23.0,1.0,2.0,0.0,0.0,0.0,0.0,50614.0,29173.0,28116.0,28771.0,29531.0,30211.0,0.0,1500.0,1100.0,1200.0,1300.0,1100.0
17.0,20000.0,1.0,1.0,2.0,24.0,0.0,0.0,2.0,2.0,2.0,2.0,15376.0,18010.0,17428.0,18338.0,17905.0,19104.0,3200.0,0.0,1500.0,0.0,1650.0,0.0
18.0,320000.0,1.0,1.0,1.0,49.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,253286.0,246536.0,194663.0,70074.0,5856.0,195599.0,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0
19.0,360000.0,2.0,1.0,1.0,49.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,180000.0,2.0,1.0,2.0,29.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,130000.0,2.0,3.0,2.0,39.0,0.0,0.0,0.0,0.0,0.0,-1.0,38358.0,27688.0,24489.0,20616.0,11802.0,930.0,3000.0,1537.0,1000.0,2000.0,930.0,33764.0
22.0,120000.0,2.0,2.0,1.0,39.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,316.0,316.0,316.0,0.0,632.0,316.0,316.0,316.0,0.0,632.0,316.0,0.0
23.0,70000.0,2.0,2.0,2.0,26.0,2.0,0.0,0.0,2.0,2.0,2.0,41087.0,42445.0,45020.0,44006.0,46905.0,46012.0,2007.0,3582.0,0.0,3601.0,0.0,1820.0
24.0,450000.0,2.0,1.0,1.0,40.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,5512.0,19420.0,1473.0,560.0,0.0,0.0,19428.0,1473.0,560.0,0.0,0.0,1128.0
25.0,90000.0,1.0,1.0,2.0,23.0,0.0,0.0,0.0,-1.0,0.0,0.0,4744.0,7070.0,0.0,5398.0,6360.0,8292.0,5757.0,0.0,5398.0,1200.0,2045.0,2000.0
26.0,50000.0,1.0,3.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,47620.0,41810.0,36023.0,28967.0,29829.0,30046.0,1973.0,1426.0,1001.0,1432.0,1062.0,997.0
27.0,60000.0,1.0,1.0,2.0,27.0,1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-109.0,-425.0,259.0,-57.0,127.0,-189.0,0.0,1000.0,0.0,500.0,0.0,1000.0
28.0,50000.0,2.0,3.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,22541.0,16138.0,17163.0,17878.0,18931.0,19617.0,1300.0,1300.0,1000.0,1500.0,1000.0,1012.0
29.0,50000.0,2.0,3.0,1.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,650.0,3415.0,3416.0,2040.0,30430.0,257.0,3415.0,3421.0,2044.0,30430.0,257.0,0.0
30.0,50000.0,1.0,1.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,15329.0,16575.0,17496.0,17907.0,18375.0,11400.0,1500.0,1500.0,1000.0,1000.0,1600.0,0.0
31.0,230000.0,2.0,1.0,2.0,27.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16646.0,17265.0,13266.0,15339.0,14307.0,36923.0,17270.0,13281.0,15339.0,14307.0,37292.0,0.0
32.0,50000.0,1.0,2.0,2.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,30518.0,29618.0,22102.0,22734.0,23217.0,23680.0,1718.0,1500.0,1000.0,1000.0,1000.0,716.0
33.0,100000.0,1.0,1.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,93036.0,84071.0,82880.0,80958.0,78703.0,75589.0,3023.0,3511.0,3302.0,3204.0,3200.0,2504.0
34.0,500000.0,2.0,2.0,1.0,54.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,10929.0,4152.0,22722.0,7521.0,71439.0,8981.0,4152.0,22827.0,7521.0,71439.0,981.0,51582.0
35.0,500000.0,1.0,1.0,1.0,58.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,13709.0,5006.0,31130.0,3180.0,0.0,5293.0,5006.0,31178.0,3180.0,0.0,5293.0,768.0
36.0,160000.0,1.0,1.0,2.0,30.0,-1.0,-1.0,-2.0,-2.0,-2.0,-1.0,30265.0,-131.0,-527.0,-923.0,-1488.0,-1884.0,131.0,396.0,396.0,565.0,792.0,0.0
37.0,280000.0,1.0,2.0,1.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,186503.0,181328.0,180422.0,170410.0,173901.0,177413.0,8026.0,8060.0,6300.0,6400.0,6400.0,6737.0
38.0,60000.0,2.0,2.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,-1.0,15054.0,9806.0,11068.0,6026.0,-28335.0,18660.0,1500.0,1518.0,2043.0,0.0,47671.0,617.0
39.0,50000.0,1.0,1.0,2.0,25.0,1.0,-1.0,-1.0,-2.0,-2.0,-2.0,0.0,780.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0
40.0,280000.0,1.0,1.0,2.0,31.0,-1.0,-1.0,2.0,-1.0,0.0,-1.0,498.0,9075.0,4641.0,9976.0,17976.0,9477.0,9075.0,0.0,9976.0,8000.0,9525.0,781.0
41.0,360000.0,1.0,1.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,218668.0,221296.0,206895.0,628699.0,195969.0,179224.0,10000.0,7000.0,6000.0,188840.0,28000.0,4000.0
42.0,70000.0,2.0,1.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,67521.0,66999.0,63949.0,63699.0,64718.0,65970.0,3000.0,4500.0,4042.0,2500.0,2800.0,2500.0
43.0,10000.0,1.0,2.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1877.0,3184.0,6003.0,3576.0,3670.0,4451.0,1500.0,2927.0,1000.0,300.0,1000.0,500.0
44.0,140000.0,2.0,2.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,59504.0,61544.0,62925.0,64280.0,67079.0,69802.0,3000.0,3000.0,3000.0,4000.0,4000.0,3000.0
45.0,40000.0,2.0,1.0,2.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,18927.0,21295.0,25921.0,25209.0,26636.0,29197.0,3000.0,5000.0,0.0,2000.0,3000.0,0.0
46.0,210000.0,1.0,1.0,2.0,29.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,20000.0,2.0,1.0,2.0,22.0,0.0,0.0,2.0,-1.0,0.0,0.0,14028.0,16484.0,15800.0,16341.0,16675.0,0.0,3000.0,0.0,16741.0,334.0,0.0,0.0
48.0,150000.0,2.0,5.0,2.0,46.0,0.0,0.0,-1.0,0.0,0.0,-2.0,4463.0,3034.0,1170.0,1170.0,0.0,0.0,1013.0,1170.0,0.0,0.0,0.0,0.0
49.0,380000.0,1.0,2.0,2.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22401.0,21540.0,15134.0,32018.0,11849.0,11873.0,21540.0,15138.0,24677.0,11851.0,11875.0,8251.0
50.0,20000.0,1.0,1.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,17447.0,18479.0,19476.0,19865.0,20480.0,20063.0,1318.0,1315.0,704.0,928.0,912.0,1069.0
51.0,70000.0,1.0,3.0,2.0,42.0,1.0,2.0,2.0,2.0,2.0,0.0,37042.0,36171.0,38355.0,39423.0,38659.0,39362.0,0.0,3100.0,2000.0,0.0,1500.0,1500.0
52.0,100000.0,2.0,3.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,61559.0,51163.0,43824.0,39619.0,35762.0,33258.0,2000.0,1606.0,1500.0,2000.0,1500.0,1000.0
53.0,310000.0,2.0,2.0,1.0,49.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,13465.0,7867.0,7600.0,11185.0,3544.0,464.0,7875.0,7600.0,11185.0,3544.0,464.0,0.0
54.0,180000.0,2.0,1.0,2.0,25.0,1.0,2.0,0.0,0.0,0.0,0.0,41402.0,41742.0,42758.0,43510.0,44420.0,45319.0,1300.0,2010.0,1762.0,1762.0,1790.0,1622.0
55.0,150000.0,2.0,1.0,2.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,46224.0,34993.0,31434.0,26518.0,21042.0,16540.0,1600.0,1718.0,1049.0,1500.0,2000.0,5000.0
